Anime,Season,Anime Type,Episodes,Genres,Description,Characters,Recommendations
Kakkou no Iinazuke,Musim semi 2022,TV,24,"Komedi, Harem, Shounen","Nagi Umino and Erika Amano, a studious high school student and a social media star, had nothing that linked them together—until they found out they were swapped at birth. When the sudden news is revealed to both of their families, their parents quickly devise a proposition with neither Nagi's nor Erika's knowledge: in order to restore them both to their rightful families and ensure everyone's happiness, the two should get engaged.

When informed of this, Nagi and Erika are quick to reject the absurd plan, refusing to go along with their parents' wishes. But, with neither party willing to back down, only time can tell where their relationship will go.

[Written by MAL Rewrite]
","Segawa, Hiro; Amano, Erika; Umino, Sachi; Umino, Nagi; Umino, Youhei; Umino, Namie; Amano, Souichirou; Asuma, Shion; Playboy A; Classmate A","Nisekoi, 5-toubun no Hanayome, Kanojo, Okarishimasu, Mamahaha no Tsurego ga Motokano datta, Kanojo mo Kanojo, Masamune-kun no Revenge, Ore no Kanojo to Osananajimi ga Shuraba Sugiru, Toradora!, Omoi, Omoware, Furi, Furare, Tonikaku Kawaii, Koi to Uso, Sasurai no Taiyou, Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season, Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Meikyuu-hen, Utawarerumono: Futari no Hakuoro, Orient: Awajishima Gekitou-hen"
Spy x Family,Musim semi 2022,TV,12,"Aksi, Pengasuhan Anak, Shounen","Corrupt politicians, frenzied nationalists, and other warmongering forces constantly jeopardize the thin veneer of peace between neighboring countries Ostania and Westalis. In spite of their plots, renowned spy and master of disguise ""Twilight"" fulfills dangerous missions one after another in the hope that no child will have to experience the horrors of war.

In the bustling Ostanian city of Berlint, Twilight dons the alias of ""Loid Forger,"" an esteemed psychiatrist. However, his true intention is to gather intelligence on prominent politician Donovan Desmond, who only appears rarely in public at his sons' school: the prestigious Eden Academy. Enlisting the help of unmarried city hall clerk Yor Briar to act as his wife and adopting the curious six-year-old orphan Anya as his daughter, Loid enacts his master plan. He will enroll Anya in Eden Academy, where Loid hopes she will excel and give him the opportunity to meet Donovan without arousing suspicion. 

Unfortunately for Loid, even a man of his talents has trouble playing the figure of a loving father and husband. And just like Loid is hiding his true identity, Yor—who is an underground assassin known as ""Thorn Princess""—and Anya—an esper who can read people's minds—have no plans to disclose their own secrets either. Although this picture-perfect family is founded on deception, the Forgers gradually come to understand that the love they share for one another trumps all else.

[Written by MAL Rewrite]
","Forger, Anya; Forger, Yor; Forger, Loid; Forger, Bond; Desmond, Damian; Briar, Yuri; Henderson, Henry; Franklin, Franky; Blackbell, Becky; Sherwood, Sylvia","Hinamatsuri (TV), Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen, Princess Principal, Full Metal Panic!, Fugou Keiji: Balance:Unlimited, Great Pretender, Kobayashi-san Chi no Maid Dragon, Usagi Drop, Kumichou Musume to Sewagakari, Saiki Kusuo no Ψ-nan, Baccano!, Gokushufudou, Kotarou wa Hitorigurashi, Barakamon, Uchi no Ko no Tame naraba, Ore wa Moshikashitara Maou mo Taoseru kamo Shirenai., Kakushigoto, Gakuen Babysitters, Yahari Ore no Seishun Love Comedy wa Machigatteiru., Lupin III (2015), Michiko to Hatchin, Bao Mu"
Kaguya-sama wa Kokurasetai: Ultra Romantic,Musim semi 2022,TV,13,"Komedi, Psikologis, Seinen","The elite members of Shuchiin Academy's student council continue their competitive day-to-day antics. Council president Miyuki Shirogane clashes daily against vice-president Kaguya Shinomiya, each fighting tooth and nail to trick the other into confessing their romantic love. Kaguya struggles within the strict confines of her wealthy, uptight family, rebelling against her cold default demeanor as she warms to Shirogane and the rest of her friends.

Meanwhile, council treasurer Yuu Ishigami suffers under the weight of his hopeless crush on Tsubame Koyasu, a popular upperclassman who helps to instill a new confidence in him. Miko Iino, the newest student council member, grows closer to the rule-breaking Ishigami while striving to overcome her own authoritarian moral code.

As love further blooms at Shuchiin Academy, the student council officers drag their outsider friends into increasingly comedic conflicts.

[Written by MAL Rewrite]
","Fujiwara, Chika; Shinomiya, Kaguya; Ishigami, Yuu; Iino, Miko; Shirogane, Miyuki; Hayasaka, Ai; Shirogane, Kei; Shirogane, Father; Shijou, Maki; Narrator","Re:Zero kara Hajimeru Isekai Seikatsu, Toradora!, School Rumble, Himouto! Umaru-chan, Sakamoto Desu ga?, Karakai Jouzu no Takagi-san, 5-toubun no Hanayome, Yagate Kimi ni Naru, Yahari Ore no Seishun Love Comedy wa Machigatteiru., Ore wo Suki nano wa Omae dake ka yo, Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku, Spy x Family Part 2, Tomodachi Game, Black★★Rock Shooter:  Dawn Fall, Onipan!, Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Meikyuu-hen"
Tate no Yuusha no Nariagari Season 2,Musim semi 2022,TV,13,"Aksi, Isekai","With another Wave happening in a week, Naofumi Iwatani and his party have no time to waste. However, when bat familiars raid Lurolona Village and the Wave countdown comes to a halt, the Four Cardinal Heroes reconvene with the queen, Mirelia Q Melromarc, for a quick briefing. The queen presumes that the odd occurrences are linked to the Spirit Tortoise—a threatening creature that has awakened from its slumber, back to cause havoc once again. A plan to put the Spirit Tortoise to rest is devised—but out of the four men, only the cursed Shield Hero agrees to help.

[Written by MAL Rewrite]
","Raphtalia; Iwatani, Naofumi; Filo; Glass; Melromarc, Melty Q; Melromarc, Mirelia Q; Elhart; Melromarc, Malty; Kazayama, Kizuna; Amaki, Ren","Kunoichi Tsubaki no Mune no Uchi, Zuihou de Zhaohuan Shi, Ore dake Level Up na Ken, Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III, Heroine Tarumono! Kiraware Heroine to Naisho no Oshigoto, Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season, Birdie Wing: Golf Girls' Story, Spy x Family Part 2, Cue!, Chainsaw Man, Engage Kiss, Shokei Shoujo no Virgin Road, RPG Fudousan, Isekai Cheat Magician, Genjitsu Shugi Yuusha no Oukoku Saikenki Part 2, Dr. Stone: Ryuusui"
Kawaii dake ja Nai Shikimori-san,Musim semi 2022,TV,12,"Komedi, Sekolah","Yuu Izumi leads a high school life filled with one mishap after another. No matter how improbable the situation, unfortunate events strike him at every turn. In possession of such terrible luck, Izumi enters his second year with a single wish in mind—to spend more time with his affectionate girlfriend, Micchon Shikimori.

Cute, athletic, and caring, Shikimori is immensely popular at their school. But since they began dating a year ago, Izumi has witnessed a surprising side to his otherwise adorable girlfriend: when the need arises, she turns incredibly cool! His misfortunes are easily avoided when she is there to protect him with an awe-inspiring look on her face. Charming in every way, she never ceases to make his heart skip a beat. Unfortunate as he may be, Izumi is sure to see his days of bad luck end thanks to the cute yet cool Shikimori.

[Written by MAL Rewrite]
","Shikimori; Izumi, Yuu; Kamiya; Hachimitsu, Yui; Izumi, Motoko; Inuzuka, Shuu; Shikimori, Fuji; Nekozaki, Kyou; Izumi, Akisada; Shikimori, Miyabi","Tonikaku Kawaii, Horimiya, Witch Craft Works, Sono Bisque Doll wa Koi wo Suru, Mirai Nikki (TV), Momokuri, Kaichou wa Maid-sama!, Subarashiki Kono Sekai The Animation, Machikado Mazoku, Koi wa Ameagari no You ni, Anne Happy♪, 5-toubun no Hanayome ∬, Teppen!!!!!!!!!!!!!!!, Shadows House 2nd Season"
"Komi-san wa, Comyushou desu. 2nd Season",Musim semi 2022,TV,12,"Komedi, Subteks Romantis, Shounen","After an exciting and momentous cultural festival, Shouko Komi continues her endeavor to make one hundred friends alongside her friend and classmate Hitohito Tadano. As winter begins, the class is joined by the seemingly delinquent student Makoto Katai, who has been absent since the first week of school. Despite his intimidating appearance, Katai has difficulty communicating with others and just wants to befriend his classmates.

As new friendships form and current ones deepen, Komi and Tadano’s relationship begins to change—though not necessarily for the worse.

[Written by MAL Rewrite]","Komi, Shouko; Tadano, Hitohito; Osana, Najimi; Otori, Kaede; Komi, Shousuke; Onemine, Nene; Nakanaka, Omoharu; Katai, Makoto; Kometani, Chuusaku ; Komi, Shuuko","Date A Live V, Love Live! Nijigasaki Gakuen School Idol Doukoukai 2nd Season, Cue!, Kinsou no Vermeil: Gakeppuchi Majutsushi wa Saikyou no Yakusai to Mahou Sekai wo Tsukisusumu, Mahoutsukai Reimeiki, Kaginado Season 2, Saihate no Paladin 2nd Season, Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai, Urusei Yatsura (2022), Rikei ga Koi ni Ochita no de Shoumei shitemita. Heart, RPG Fudousan, Made in Abyss: Retsujitsu no Ougonkyou, Mamahaha no Tsurego ga Motokano datta, Overlord IV, Isekai Meikyuu de Harem wo, Machikado Mazoku: 2-choume"
Summertime Render,Musim semi 2022,TV,25,"Misteri, Shounen","Since the death of his parents, Shinpei Ajiro had lived with the Kofune family and their two daughters—Mio and Ushio. Although he then left his home island to continue his education in Tokyo, Shinpei returns after Ushio tragically drowns during the attempted rescue of a little girl. During the funeral, his best friend informs him about bruises found around Ushio's neck, casting doubt over the cause of her death.

Suspecting a murder has taken place, Shinpei reevaluates recent events, but strange incidents only continue to transpire. Disappearing people and other unexplainable occurrences lead Mio to recall an old folktale referring to entities called ""Shadows,"" which may not be entirely fantasy. Supposedly, an encounter with one's Shadow foretells the person's impending demise.

Facing the dark side of Hitogashima Island, Shinpei stands against his grim fate to fulfill Ushio's final will—to protect Mio.

[Written by MAL Rewrite]
","Ajiro, Shinpei; Kofune, Ushio; Kofune, Mio; Minakata, Hizuru; Haine; Nezu, Ginjirou; Hishigata, Shidehiko; Hishigata, Sou; Hishigata, Tokiko; Kobayakawa, Shiori","Re:Zero kara Hajimeru Isekai Seikatsu, Higurashi no Naku Koro ni, Shiki, Boku dake ga Inai Machi, Steins;Gate, Zetsuen no Tempest, Kono Yo no Hate de Koi wo Utau Shoujo YU-NO, Tokyo Revengers, Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai., Sonny Boy, Shadows House, Island, Gleipnir, Suzumiya Haruhi no Yuuutsu (2009), Subete ga F ni Naru, Higashi no Eden, Wonder Egg Priority, Charlotte, Sakurada Reset, Kiseijuu: Sei no Kakuritsu, Sono Bisque Doll wa Koi wo Suru, Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season, Spy x Family Part 2, Shadows House 2nd Season"
Aharen-san wa Hakarenai,Musim semi 2022,TV,12,"Komedi, Iyashikei, Shounen","Beginning his first year of high school, all Matsuboshi Raidou wants is to make friends—starting with the cute, tiny, and soft-spoken Reina Aharen, who sits right next to him in class. Unbeknownst to Raidou, Reina shares the same sentiment, but she has a problem. Awkward and timid, Reina is incapable of determining how chummy she has to be when approaching a person.

Due to Reina's complete inability to gauge personal space, the two struggle to spark their unlikely friendship, as even the simplest tasks like talking seem impossible for them. But despite the countless yet pointless challenges that hinder the pair, the overly imaginative Raidou will do whatever it takes to befriend the indecipherable Reina.

[Written by MAL Rewrite]
","Aharen, Reina; Raidou, Matsuboshi; Toubaru-sensei; Aharen, Ren; Aharen, Eru; Ooshiro, Mitsuki; Raidou , Younger Sister; Futaba; Miyahira-sensei; Atsushi","Komi-san wa, Comyushou desu., Tonari no Seki-kun, High Score Girl, Tanaka-kun wa Itsumo Kedaruge, Senpai ga Uzai Kouhai no Hanashi, Toradora!, Shoujo Shuumatsu Ryokou, Isshuukan Friends., Soredemo Ayumu wa Yosetekuru, Saiki Kusuo no Ψ-nan, Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita, Gochuumon wa Usagi Desu ka?, Kimi ni Todoke, Maoujou de Oyasumi, Kotoura-san, Acchi Kocchi, Aho Girl, Onipan!, Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season, Akebi-chan no Sailor-fuku, Mamahaha no Tsurego ga Motokano datta, Arifureta Shokugyou de Sekai Saikyou 2nd Season, Bubble, Isekai Ojisan"
Tomodachi Game,Musim semi 2022,TV,12,"Game Taruhan Tinggi, Shounen","High school student Yuuichi Katagiri cherishes his close circle of friends, composed of four classmates: Yutori Kokorogi, Shiho Sawaragi, Makoto Shibe, and Tenji Mikasa. However, when the funds for the upcoming school trip are stolen, the incident causes Shiho and Makoto—who had been tasked with collecting the money—to distance themselves from the rest of their class.

Soon after, Yuuichi and his friends are deceived into meeting up and knocked unconscious by unknown assailants. After waking, the group find themselves confined in a white room with controversial figure Manabu-kun, who reveals that one of the five has gathered them together to clear their personal debt of twenty million yen. To pay off the amount, they must participate in a variety of psychological games that will test the true nature of their friendship and humanity.

Distressed and isolated from the outside world, Yuuichi and his friends need to cooperate to complete the games. But as their concealed feelings and problematic pasts begin to surface, their seemingly unbreakable bond may soon shatter into irreparable pieces.

[Written by MAL Rewrite]
","Katagiri, Yuuichi; Sawaragi, Shiho; Mikasa, Tenji; Kokorogi, Yutori; Shibe, Makoto; Shinomiya, Kei; Mizuse, Maria; Tsukino; Manabu-kun; Yuuichi's Mother","Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e, Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation, Kakegurui, Death Parade, Death Note, Gyakkyou Burai Kaiji: Ultimate Survivor, Nakanohito Genome [Jikkyouchuu], Deatte 5-byou de Battle, To Be Hero, Imawa no Kuni no Alice, Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season, Subarashiki Kono Sekai The Animation, Rokka no Yuusha, Btooom!, Gleipnir, Spy x Family"
"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu",Musim semi 2022,TV,12,"Aksi, Isekai","One day, a gamer played video games until he fell asleep...and when he woke up, he found himself in the game world—as a skeleton! Equipped with the powerful weapons and armor of his avatar but stuck with its frightening skeletal appearance, Arc has to find a place for himself in this new, fantastical land. All his hopes for a quiet life are dashed when he crosses paths with a beautiful elven warrior, setting him on a journey full of conflict and adventure.

(Source: Seven Seas Entertainment)","Arc; Glenys Lalatoya, Ariane; Ponta; Chiyome; Goemon; Glenys; Eevin; Domitianus; Brian; Ferna","Overlord, Isekai Maou to Shoukan Shoujo no Dorei Majutsu, Overlord IV, Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou, Tsuki ga Michibiku Isekai Douchuu, Goblin Slayer, Kuma Kuma Kuma Bear, Kanojo, Okarishimasu 2nd Season, Shokei Shoujo no Virgin Road, Birdie Wing: Golf Girls' Story, Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai, Arifureta Shokugyou de Sekai Saikyou: Maboroshi no Bouken to Kiseki no Kaigou, Tomo-chan wa Onnanoko!, Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season, Yuusha, Yamemasu: Kenshuu Ryokou wa Mokuteki wo Miushinau na, Baraou no Souretsu"
